Iteration: 1
Team ,Score ,Strategy
23,-128,[2 12 9 8 5 1 10 13 4 6 3 11 7]
24,-77,[6 12 7 9 3 1 4 11 10 8 2 5 13]
25,73,[2 5 7 6 1 12 13 3 10 11 9 8 4]
Iteration: 15
Team ,Score ,Strategy
1,252,[1 3 2 13 6 8 12 7 9 11 5 4 10]
2,245,[1 3 2 13 5 12 4 9 7 8 11 6 10]
3,237,[1 3 6 13 4 12 5 10 8 2 11 9 7]
4,279,[4 1 6 12 7 2 5 10 8 13 3 11 9]
5,55,[4 1 6 12 9 11 5 10 3 13 7 8 2]
6,55,[4 1 6 12 9 11 5 10 3 13 7 8 2]
7,49,[6 12 1 2 10 9 4 7 8 5 13 3 11]
8,-380,[12 4 11 6 3 10 5 13 7 8 1 2 9]
9,-90,[6 9 13 5 3 7 8 1 12 10 4 2 11]
10,388,[2 6 1 5 3 10 9 8 7 13 12 11 4]
11,177,[3 9 10 1 6 13 2 11 8 4 7 5 12]
12,246,[6 4 1 2 12 10 8 7 9 11 3 5 13]
13,-206,[3 8 10 7 12 1 11 13 4 6 2 5 9]
14,-224,[8 6 9 11 1 7 12 13 2 5 4 3 10]
15,-328,[13 10 7 6 5 4 11 2 12 8 1 9 3]
16,-137,[13 3 8 5 6 12 1 11 2 10 4 9 7]
17,-441,[11 7 8 9 12 13 5 3 10 4 2 6 1]
18,-112,[12 1 11 7 9 2 3 5 13 10 6 8 4]
19,-127,[8 3 6 12 13 5 2 7 4 11 9 1 10]
20,94,[2 9 10 1 13 5 6 7 4 12 3 11 8]
21,49,[3 5 10 8 11 12 1 4 7 2 9 6 13]
22,-359,[13 5 9 8 1 11 12 6 3 7 4 2 10]
23,184,[8 5 7 4 12 3 1 10 2 6 11 9 13]
24,194,[3 2 4 12 8 6 9 11 7 1 10 13 5]
25,-100,[1 13 2 9 12 11 3 6 8 10 5 7 4]
Iteration: 16
Team ,Score ,Strategy
1,231,[1 3 6 13 4 12 5 10 8 2 11 9 7]
2,60,[4 8 1 12 7 10 5 6 9 11 3 2 13]
3,102,[1 3 6 13 12 8 5 10 9 7 2 11 4]
4,203,[1 12 6 13 4 2 5 10 8 7 3 11 9]
5,55,[6 4 2 5 12 8 13 7 9 11 3 1 10]
6,277,[2 4 1 5 12 10 9 8 7 13 3 11 6]
7,86,[12 9 4 6 2 8 3 13 1 5 11 7 10]
8,97,[3 8 9 1 11 12 4 7 2 5 13 10 6]
9,-73,[12 4 6 3 11 8 9 10 2 13 1 5 7]
10,-189,[12 7 1 3 9 5 13 6 2 11 8 10 4]
11,-285,[7 6 12 4 9 10 3 13 1 11 8 2 5]
12,34,[2 13 5 11 1 7 8 6 12 4 9 3 10]
13,58,[5 13 2 11 1 3 12 8 9 4 10 6 7]
14,-73,[9 11 5 6 3 10 1 12 7 4 13 2 8]
15,-419,[7 10 13 11 5 12 1 8 9 2 3 4 6]
16,-480,[12 2 9 13 11 10 5 7 6 3 1 8 4]
17,54,[6 1 8 9 2 7 13 4 5 11 12 3 10]
18,-48,[9 5 2 6 10 3 11 12 7 13 8 4 1]
19,142,[7 9 8 13 1 5 2 10 4 3 6 12 11]
20,118,[3 2 11 12 9 1 8 7 4 13 6 5 10]
21,-37,[2 10 1 9 6 13 12 8 11 7 3 4 5]
22,288,[5 12 2 1 10 4 7 9 6 3 13 8 11]
23,-255,[13 10 1 12 8 3 5 7 11 2 4 9 6]
24,209,[6 1 10 8 3 11 2 4 12 7 13 5 9]
25,-155,[2 8 11 13 10 7 4 5 9 3 6 1 12]
Iteration: 17
Team ,Score ,Strategy
1,90,[7 9 8 13 1 5 2 10 4 3 6 12 11]
2,139,[6 1 10 13 3 11 2 4 8 7 5 12 9]
3,84,[1 6 10 13 4 2 11 12 8 7 3 5 9]
4,170,[2 4 1 5 12 9 10 8 13 6 3 11 7]
5,-13,[5 12 6 1 4 11 7 10 8 2 13 9 3]
6,139,[6 1 10 13 3 11 2 4 8 7 5 12 9]
7,-34,[12 3 4 5 13 6 2 9 7 10 8 11 1]
8,61,[2 6 5 13 11 3 8 1 12 10 7 9 4]
9,355,[11 2 7 1 6 4 5 12 8 10 9 13 3]
10,342,[7 4 1 6 11 8 3 5 9 10 13 12 2]
11,-110,[7 4 13 9 8 10 6 5 12 3 2 1 11]
12,-207,[13 9 5 2 12 11 1 4 3 6 7 10 8]
13,-136,[9 12 5 7 11 4 13 1 2 6 8 3 10]
14,-424,[11 7 6 13 9 10 5 4 3 1 12 8 2]
15,39,[8 7 4 3 6 13 2 12 10 5 9 11 1]
16,57,[7 3 8 5 11 6 10 12 2 13 9 1 4]
17,-295,[13 11 10 5 2 12 9 6 3 8 7 1 4]
18,7,[11 2 3 8 13 6 9 1 5 4 12 10 7]
19,206,[11 4 2 6 1 12 5 3 7 13 10 9 8]
20,-252,[3 11 12 9 4 2 13 10 7 5 8 6 1]
21,-311,[12 8 10 11 2 4 13 6 1 9 5 3 7]
22,-261,[13 11 8 2 7 12 1 3 10 9 6 5 4]
23,300,[4 3 7 12 8 1 11 5 6 2 10 13 9]
