Iteration: 1
Team ,Score ,Strategy
6,231,[6 3 4 7 2 8 13 1 12 5 9 10 11]
7,-84,[5 6 11 2 1 12 13 9 8 7 10 4 3]
8,-105,[9 6 10 8 7 3 4 1 13 5 11 2 12]
9,173,[8 3 1 7 12 2 5 10 11 6 9 4 13]
10,119,[3 6 7 2 12 1 10 8 11 9 13 5 4]
11,-20,[7 1 13 9 8 4 12 3 6 5 2 11 10]
12,516,[3 4 2 1 8 7 5 6 9 13 12 10 11]
13,191,[3 9 4 2 13 6 1 12 5 7 8 11 10]
14,48,[3 4 7 9 5 12 10 13 2 1 6 11 8]
15,87,[6 3 5 2 9 10 7 8 11 13 12 4 1]
16,-355,[4 6 10 9 13 12 11 2 8 3 1 7 5]
17,-185,[11 6 5 1 4 13 8 9 3 12 10 2 7]
18,-79,[1 13 4 6 8 10 12 3 2 5 11 9 7]
19,-148,[11 3 1 12 4 9 13 10 8 5 2 7 6]
20,-394,[5 13 4 10 12 9 11 6 2 7 1 3 8]
21,-336,[10 8 13 2 12 11 1 9 4 7 3 6 5]
22,-191,[5 4 11 13 12 8 1 10 3 9 2 6 7]
23,21,[3 11 8 13 4 6 1 10 2 7 5 9 12]
24,-212,[6 5 13 10 3 1 9 4 12 11 8 2 7]
25,107,[9 6 1 4 3 7 8 13 5 11 12 2 10]
Iteration: 101
Team ,Score ,Strategy
1,299,[8 3 1 7 12 2 5 10 11 6 9 4 13]
2,362,[3 5 2 1 10 7 11 6 9 4 8 12 13]
3,148,[8 5 1 7 12 3 2 10 11 9 6 4 13]
4,-166,[8 3 12 7 10 1 9 6 11 5 2 4 13]
5,362,[3 5 2 1 10 7 11 6 9 4 8 12 13]
6,260,[3 9 2 1 13 7 5 12 4 6 8 11 10]
7,-36,[4 6 11 7 10 2 1 8 3 13 5 12 9]
8,-51,[5 7 13 3 12 2 4 9 1 8 6 11 10]
9,-170,[13 3 9 2 5 7 12 4 11 10 8 1 6]
10,-119,[13 4 11 3 1 9 6 7 10 12 8 5 2]
11,-212,[10 9 1 11 12 5 4 2 6 3 7 13 8]
12,-44,[2 11 4 6 12 7 10 9 13 3 8 5 1]
13,202,[2 7 11 1 6 5 9 3 13 8 10 12 4]
14,-148,[11 2 9 4 10 12 5 1 6 8 3 13 7]
15,-97,[2 9 12 1 5 13 8 7 4 3 11 10 6]
16,-239,[7 9 1 10 11 2 12 8 13 3 4 5 6]
17,-40,[6 7 11 4 3 1 12 5 9 13 2 8 10]
18,-468,[7 11 12 9 3 8 13 1 10 5 6 2 4]
19,-58,[13 9 1 11 2 6 3 8 12 4 10 5 7]
20,-37,[13 11 4 8 1 3 7 10 2 9 6 5 12]
21,240,[11 1 2 4 10 6 12 5 3 7 9 13 8]
22,321,[8 2 4 9 1 7 5 3 6 12 13 11 10]
23,-105,[10 5 7 2 13 11 9 3 4 6 12 8 1]
24,190,[6 5 1 2 7 13 8 4 12 3 9 11 10]
25,-394,[6 11 12 5 8 13 3 9 2 1 7 4 10]
Iteration: 102
Team ,Score ,Strategy
1,5,[11 1 2 4 10 6 12 5 3 7 9 13 8]
2,-242,[11 9 2 4 13 6 5 12 8 7 1 3 10]
3,175,[3 8 2 1 13 7 5 10 11 6 9 4 12]
4,-110,[11 5 2 4 10 7 12 6 9 8 3 13 1]
5,320,[8 1 4 9 3 6 12 5 7 2 13 11 10]
6,461,[3 2 4 1 13 7 5 9 6 11 8 12 10]
7,-252,[11 3 10 9 12 1 7 5 4 8 6 13 2]
8,584,[2 6 1 5 3 7 9 4 13 12 10 8 11]
9,-244,[6 13 1 7 10 5 11 12 3 8 4 2 9]
10,-495,[13 11 8 5 6 12 4 7 2 10 9 3 1]
11,111,[7 5 1 10 6 12 9 2 13 11 4 8 3]
12,-73,[7 3 13 5 1 11 4 8 12 9 10 6 2]
13,-183,[2 10 12 7 8 3 5 13 1 6 11 4 9]
14,55,[4 1 8 7 13 3 2 11 10 6 12 5 9]
15,89,[1 5 7 9 8 12 4 13 6 2 11 3 10]
16,-21,[1 9 13 8 7 5 10 6 2 12 3 11 4]
17,-82,[13 5 2 7 4 8 10 11 12 9 1 6 3]
18,12,[4 12 7 8 3 11 2 13 1 9 6 5 10]
19,-226,[8 12 11 6 10 3 1 5 4 13 2 9 7]
20,34,[7 6 13 5 12 3 9 1 4 10 2 8 11]
21,-197,[11 1 9 5 13 4 2 10 7 8 12 3 6]
22,-85,[13 2 1 12 3 7 8 10 11 9 6 4 5]
23,168,[1 7 8 3 9 5 6 11 12 10 2 13 4]
24,47,[10 11 1 5 4 3 2 8 13 9 12 6 7]
25,149,[11 3 2 10 5 1 7 4 6 8 12 13 9]
Iteration: 103
Team ,Score ,Strategy
1,415,[11 3 2 10 5 1 7 4 6 8 12 13 9]
2,283,[3 13 2 1 5 7 6 10 11 8 12 4 9]
3,337,[3 1 4 9 13 7 12 5 6 11 8 2 10]
4,507,[11 3 2 1 5 7 4 9 6 8 12 13 10]
5,124,[11 1 4 10 3 8 12 5 6 2 13 9 7]
6,211,[8 7 4 3 9 5 6 1 12 10 2 11 13]
7,137,[4 6 7 1 8 9 13 10 2 3 11 12 5]
8,252,[5 10 6 1 2 12 3 13 4 7 8 11 9]
9,-331,[8 10 13 9 3 6 5 11 12 2 4 1 7]
10,-24,[2 7 12 10 11 9 5 3 6 1 8 13 4]
11,185,[5 2 12 6 11 1 9 13 3 4 8 7 10]
12,-196,[9 13 12 3 2 4 10 8 6 1 7 11 5]
13,-341,[13 12 9 2 3 8 7 10 1 5 11 6 4]
14,-127,[12 1 8 5 10 9 6 7 2 4 11 13 3]
15,374,[6 2 1 10 4 7 5 9 3 12 11 13 8]
16,-147,[6 3 7 10 9 11 13 12 2 4 1 8 5]
17,-148,[7 3 10 13 12 1 8 11 5 9 4 6 2]
18,78,[2 6 1 12 13 11 10 8 9 7 4 3 5]
19,-379,[13 9 3 11 12 8 10 1 5 7 2 6 4]
20,171,[11 5 8 3 13 1 4 7 6 9 2 12 10]
21,-444,[13 7 8 11 10 9 1 12 3 5 6 4 2]
22,-339,[9 13 7 8 11 10 2 3 6 12 5 4 1]
23,-204,[4 3 13 11 8 5 9 2 12 6 7 10 1]
24,-235,[5 8 7 12 6 11 13 10 2 9 4 1 3]
25,-159,[1 13 5 12 7 9 8 10 3 6 2 11 4]
Iteration: 104
Team ,Score ,Strategy
1,29,[5 10 6 1 2 12 3 13 4 7 8 11 9]
2,23,[11 10 2 1 4 7 3 13 6 8 5 12 9]
3,-128,[5 13 6 1 2 12 8 10 4 7 3 11 9]
4,516,[5 1 4 9 2 7 3 12 6 10 8 13 11]
5,377,[3 10 2 1 5 7 6 4 11 8 12 13 9]
6,491,[3 1 2 9 5 7 6 4 11 13 8 12 10]
7,224,[13 1 5 2 9 4 3 7 8 10 6 12 11]
8,103,[3 2 13 10 5 9 6 8 12 1 7 4 11]
9,114,[2 1 10 11 6 13 8 7 5 3 9 12 4]
10,-43,[2 6 5 12 13 9 7 10 1 8 3 4 11]
11,-5,[4 9 11 6 8 1 7 3 12 5 2 13 10]
12,-470,[10 13 11 1 12 2 8 7 6 5 3 9 4]
13,62,[11 6 12 7 5 4 9 1 8 2 10 3 13]
14,-435,[9 10 13 1 11 7 6 5 2 12 4 8 3]
15,239,[8 1 2 4 11 3 6 10 13 9 5 7 12]
16,-173,[8 4 6 12 2 11 13 10 3 5 9 1 7]
17,23,[3 7 9 8 10 1 12 11 5 4 6 2 13]
18,-257,[7 10 11 4 12 5 1 13 8 6 9 3 2]
19,-235,[10 9 5 6 13 11 7 1 3 2 4 8 12]
20,-160,[4 9 12 7 1 5 6 8 3 13 2 11 10]
21,-148,[1 10 11 8 12 7 3 2 13 9 5 4 6]
22,-280,[12 2 3 10 9 6 4 13 7 5 1 11 8]
23,-39,[3 5 13 8 1 9 7 11 6 10 2 12 4]
24,51,[7 11 6 2 3 1 8 13 10 12 4 9 5]
25,121,[10 4 8 9 3 5 7 2 12 11 6 13 1]
Iteration: 105
Team ,Score ,Strategy
1,36,[10 4 8 9 3 5 7 2 12 11 6 13 1]
2,545,[3 1 2 6 5 7 9 12 11 10 8 13 4]
3,67,[10 4 8 9 3 7 2 5 12 11 6 13 1]
4,390,[5 1 2 9 12 7 6 4 11 10 8 13 3]
5,119,[10 4 2 9 3 7 6 12 11 8 1 13 5]
6,390,[5 1 2 9 12 7 6 4 11 10 8 13 3]
7,-61,[6 8 11 9 2 12 4 1 10 3 5 13 7]
8,-88,[4 9 13 11 2 10 8 3 1 5 6 12 7]
9,-398,[5 9 13 6 8 10 3 2 12 7 4 11 1]
10,99,[6 5 3 1 8 11 13 7 9 10 12 4 2]
11,548,[6 4 2 5 8 1 3 12 7 11 9 13 10]
12,-29,[11 8 4 1 13 2 5 10 3 12 6 7 9]
13,-549,[12 13 4 9 11 5 10 3 2 8 7 6 1]
14,19,[1 11 5 9 4 6 2 12 13 8 3 10 7]
15,256,[3 6 9 5 2 1 10 8 11 4 13 12 7]
16,-58,[10 11 9 3 4 5 8 1 7 6 12 13 2]
17,-44,[6 10 13 4 2 9 5 11 12 1 8 3 7]
18,-73,[13 5 2 9 4 3 11 8 6 1 7 12 10]
19,-216,[10 7 4 12 5 3 13 1 6 9 11 8 2]
20,215,[2 1 6 3 13 7 11 12 9 10 8 5 4]
21,-226,[9 10 5 7 11 12 2 3 6 4 8 13 1]
22,-424,[4 7 5 9 11 6 13 10 8 2 3 12 1]
23,-424,[8 5 13 10 12 7 3 2 9 1 4 11 6]
24,-124,[10 2 6 3 12 8 13 11 1 5 4 9 7]
25,30,[7 9 6 13 1 4 5 2 10 3 8 12 11]
Iteration: 106
Team ,Score ,Strategy
1,119,[2 1 6 3 13 7 11 12 9 10 8 5 4]
2,216,[6 4 2 5 12 1 9 3 11 10 8 13 7]
3,215,[2 1 5 3 13 7 9 12 11 10 8 6 4]
4,171,[5 1 2 9 12 7 6 4 11 10 8 13 3]
5,409,[6 1 2 5 8 3 4 12 7 11 9 13 10]
6,110,[3 1 6 5 13 2 11 8 9 10 4 12 7]
7,-93,[11 7 8 6 4 10 2 13 5 3 9 1 12]
8,-23,[5 1 7 11 13 4 2 3 9 10 6 12 8]
9,158,[2 8 9 1 13 4 12 5 3 6 11 7 10]
10,-14,[1 13 2 10 3 5 12 8 9 11 7 4 6]
11,-276,[13 9 5 12 3 7 1 10 4 8 11 2 6]
12,-67,[10 2 1 9 13 6 12 5 7 3 11 8 4]
13,-408,[12 11 7 6 10 3 9 5 4 1 8 13 2]
14,181,[1 7 3 9 11 10 8 5 4 6 13 2 12]
15,-255,[13 8 3 5 9 6 4 12 1 11 7 10 2]
16,119,[3 6 2 12 11 4 1 5 9 13 7 8 10]
17,-46,[6 9 5 12 4 11 7 3 10 2 1 8 13]
18,30,[3 9 6 7 10 12 2 4 8 5 1 13 11]
19,-48,[1 6 13 5 9 8 11 2 12 4 7 3 10]
20,-282,[11 12 1 9 8 4 3 13 5 7 10 2 6]
21,-63,[6 9 4 13 8 5 7 1 11 3 2 10 12]
22,271,[1 5 3 7 2 9 12 11 10 8 13 6 4]
23,-104,[8 7 3 11 13 5 10 6 1 4 12 2 9]
24,-258,[7 13 8 12 3 1 6 2 11 4 5 10 9]
25,-62,[11 2 9 3 8 12 4 10 1 6 7 5 13]
Iteration: 107
Team ,Score ,Strategy
1,60,[5 1 2 9 12 7 6 4 11 10 8 13 3]
2,174,[2 1 5 6 12 7 9 3 11 10 8 13 4]
3,60,[5 1 2 9 12 7 6 4 11 10 8 13 3]
4,330,[6 1 2 9 8 3 4 12 7 11 13 5 10]
5,68,[2 1 5 7 13 9 8 12 10 11 3 6 4]
6,68,[2 1 5 7 13 9 8 12 10 11 3 6 4]
7,127,[10 6 2 5 3 8 9 4 12 13 11 7 1]
8,127,[2 10 6 1 11 8 4 3 12 5 9 13 7]
9,190,[6 2 4 12 5 7 3 1 9 8 10 11 13]
10,-218,[7 6 10 12 11 4 5 8 3 2 1 9 13]
11,-85,[6 3 7 5 11 13 10 8 1 4 12 9 2]
12,-390,[10 12 9 11 1 13 7 5 6 2 4 3 8]
13,-67,[11 10 4 6 2 7 3 13 5 12 9 1 8]
14,-39,[11 9 3 2 1 7 10 12 6 8 4 5 13]
15,-21,[10 4 8 5 2 11 7 3 13 6 12 9 1]
16,178,[2 7 5 9 8 3 4 10 1 11 6 13 12]
17,-318,[13 8 6 4 10 12 3 1 9 2 11 7 5]
18,-44,[8 5 12 6 10 1 3 4 2 7 9 11 13]
19,-322,[12 13 6 7 3 5 8 11 1 2 10 9 4]
20,388,[5 4 7 3 2 1 11 13 8 6 10 12 9]
21,-250,[6 13 5 12 2 9 4 10 1 3 8 11 7]
22,164,[9 6 10 1 2 7 3 8 5 11 12 13 4]
23,-58,[9 8 12 3 11 2 1 5 4 6 10 13 7]
24,-90,[12 4 2 1 13 10 7 11 3 5 9 6 8]
25,-32,[2 10 8 9 5 13 1 3 11 6 12 4 7]
Iteration: 108
Team ,Score ,Strategy
1,248,[9 6 10 1 2 7 3 8 5 11 12 13 4]
2,285,[2 4 5 6 12 7 9 3 8 10 11 13 1]
3,-125,[9 7 10 1 8 3 4 12 5 11 6 13 2]
4,384,[6 1 2 9 8 7 4 3 12 10 13 5 11]
5,150,[6 1 5 12 3 7 9 2 11 8 10 13 4]
6,292,[6 2 4 3 5 1 11 13 9 8 10 12 7]
7,-202,[6 1 7 10 11 13 2 8 12 4 5 9 3]
8,-393,[7 10 13 3 11 1 8 12 2 9 4 5 6]
9,77,[11 9 5 8 2 7 10 4 3 6 12 1 13]
10,241,[2 1 5 10 6 7 12 13 3 11 4 9 8]
11,-10,[2 8 13 7 3 4 11 12 6 10 1 5 9]
12,261,[7 6 1 9 4 5 10 2 3 13 8 12 11]
13,-6,[2 13 7 1 10 5 9 8 6 11 12 4 3]
14,-165,[8 10 1 13 11 6 2 5 4 9 7 3 12]
15,33,[3 8 12 1 10 7 2 9 13 4 11 6 5]
16,-163,[10 1 11 5 8 3 12 6 13 2 9 4 7]
17,27,[10 1 7 5 12 2 6 8 13 4 9 3 11]
18,-215,[12 13 2 5 10 8 6 3 1 9 11 7 4]
19,-10,[5 10 4 6 3 13 11 2 1 12 8 9 7]
20,138,[2 4 7 13 11 9 5 1 6 3 8 10 12]
21,30,[7 8 4 1 13 6 9 2 5 12 10 11 3]
22,10,[6 12 4 3 11 2 5 13 8 1 9 7 10]
23,-238,[13 6 9 2 5 11 10 7 1 4 3 12 8]
24,-382,[10 13 11 8 6 5 4 1 2 3 7 12 9]
25,-267,[7 2 12 11 10 6 13 8 1 5 4 3 9]
Iteration: 109
Team ,Score ,Strategy
1,240,[2 1 5 10 6 7 12 13 3 11 4 9 8]
2,-200,[9 6 10 12 2 7 3 8 5 11 13 4 1]
3,375,[2 1 5 9 6 7 3 8 10 11 12 13 4]
4,-172,[6 4 5 12 11 7 9 13 2 8 10 3 1]
5,215,[2 6 5 10 9 1 7 13 3 11 4 12 8]
6,400,[9 2 4 1 6 7 3 13 5 11 10 8 12]
7,135,[11 5 2 6 7 10 4 12 8 1 3 13 9]
8,-61,[6 4 7 12 13 1 11 10 3 5 9 8 2]
9,30,[8 2 9 3 12 11 5 1 4 10 7 6 13]
10,-39,[11 1 4 10 9 12 6 2 3 5 7 8 13]
11,-157,[13 4 11 12 5 3 2 10 7 6 8 9 1]
12,-181,[3 9 11 12 2 13 5 10 4 1 7 8 6]
13,161,[13 9 1 3 4 11 7 2 6 5 8 10 12]
14,-111,[8 6 7 11 10 5 1 12 3 2 13 4 9]
15,58,[3 10 1 11 12 2 4 9 5 13 7 6 8]
16,-140,[4 10 3 7 9 11 1 6 13 12 5 2 8]
17,-74,[5 13 3 11 4 10 2 9 7 6 8 12 1]
18,-150,[1 7 8 11 12 13 10 3 2 5 9 6 4]
19,70,[4 7 1 11 10 2 6 9 12 13 3 8 5]
20,81,[1 4 6 11 8 13 9 10 7 2 12 5 3]
21,-45,[2 3 8 10 4 13 9 11 1 5 7 6 12]
22,-358,[13 1 11 9 7 6 3 12 5 10 2 4 8]
23,-157,[10 8 12 4 3 6 11 5 2 1 13 9 7]
24,186,[11 2 12 3 1 5 6 7 4 9 8 10 13]
25,-106,[2 10 12 9 8 6 4 5 7 11 3 13 1]
Iteration: 110
Team ,Score ,Strategy
1,-31,[13 9 1 3 4 11 7 2 6 5 8 10 12]
2,285,[11 1 5 3 6 10 2 8 4 9 7 13 12]
3,241,[2 6 5 10 1 9 8 7 3 11 4 12 13]
4,375,[2 1 5 10 6 7 11 3 4 9 8 12 13]
5,241,[2 6 5 10 1 9 8 7 3 11 4 12 13]
6,241,[2 6 5 10 1 9 8 7 3 11 4 12 13]
7,-42,[2 11 3 10 9 6 8 4 12 7 5 13 1]
8,-315,[5 12 6 11 7 9 13 8 4 10 3 2 1]
9,288,[1 10 3 2 8 6 7 9 13 12 4 5 11]
10,-400,[13 12 7 10 8 2 11 9 5 3 4 6 1]
11,-176,[9 12 5 4 6 7 11 8 3 1 13 2 10]
12,-108,[5 6 13 3 10 8 7 1 12 11 9 2 4]
13,13,[1 6 4 12 13 3 7 9 10 5 11 2 8]
14,-279,[4 12 7 10 13 9 3 6 8 2 5 1 11]
15,247,[7 3 5 1 12 6 2 13 4 9 11 10 8]
16,-217,[10 11 8 13 2 9 6 4 7 12 5 3 1]
17,-23,[4 10 1 11 7 3 13 6 12 8 2 5 9]
18,-141,[3 11 12 5 10 1 13 9 6 7 8 2 4]
19,-431,[10 13 8 7 3 12 9 11 5 6 1 2 4]
20,75,[2 12 7 4 10 1 9 13 8 6 11 3 5]
21,276,[3 6 2 5 12 1 10 13 4 7 11 8 9]
22,60,[1 4 13 10 8 5 2 11 12 7 9 6 3]
23,-272,[13 8 5 11 1 4 12 6 2 3 9 10 7]
24,197,[6 13 2 5 1 4 10 8 9 11 12 3 7]
25,-104,[9 3 5 10 13 1 12 11 4 7 2 6 8]
Iteration: 111
Team ,Score ,Strategy
1,304,[2 6 5 10 1 9 8 7 3 11 4 12 13]
2,147,[2 6 5 10 1 7 8 9 13 11 4 12 3]
3,607,[2 1 5 3 6 7 11 8 4 9 10 13 12]
4,12,[11 1 5 10 6 9 8 2 3 13 7 12 4]
5,303,[3 1 5 6 12 10 2 13 4 7 11 8 9]
6,607,[2 1 5 3 6 7 11 8 4 9 10 13 12]
7,-35,[1 11 8 10 5 3 13 12 4 9 2 6 7]
8,-31,[9 13 1 8 7 6 4 3 11 5 2 10 12]
9,99,[1 6 5 13 12 4 8 2 10 11 7 3 9]
10,-202,[8 7 13 9 5 4 3 12 6 10 2 1 11]
11,56,[9 3 2 6 7 12 1 10 13 5 8 11 4]
12,-337,[13 10 1 6 5 11 8 12 7 4 9 2 3]
13,-198,[13 10 9 5 2 1 6 12 7 11 3 8 4]
14,-196,[11 7 5 10 4 3 8 12 13 1 9 2 6]
15,75,[7 10 6 12 5 3 4 1 9 2 11 13 8]
16,-15,[13 3 11 10 6 1 5 2 8 4 12 7 9]
17,-259,[3 10 8 12 13 11 9 5 7 2 1 6 4]
18,-440,[13 6 9 8 7 10 11 3 12 4 1 5 2]
19,-351,[10 12 8 13 7 4 3 11 1 2 6 5 9]
20,-146,[10 11 8 7 2 5 3 12 1 13 9 4 6]
21,21,[5 4 2 11 9 10 8 3 13 7 6 12 1]
22,173,[2 8 1 9 13 11 5 4 6 12 7 3 10]
23,-149,[13 6 2 8 7 3 10 9 12 5 11 4 1]
24,-156,[2 7 6 13 11 12 4 9 3 8 1 10 5]
25,111,[6 13 5 8 1 2 7 4 3 11 10 12 9]
Iteration: 112
Team ,Score ,Strategy
1,192,[2 6 5 10 1 7 8 9 13 11 4 12 3]
2,111,[2 1 5 9 13 7 11 4 6 12 10 3 8]
3,548,[2 1 5 3 6 7 9 4 8 12 10 11 13]
4,248,[2 6 5 10 7 9 11 8 4 1 12 13 3]
5,141,[3 6 5 12 1 10 2 13 4 7 11 8 9]
6,506,[2 1 5 3 7 9 11 8 4 6 10 12 13]
7,-142,[8 3 9 12 1 6 13 7 4 11 10 2 5]
8,-76,[5 9 7 12 6 3 1 10 8 4 2 13 11]
9,-143,[13 4 2 1 12 6 10 7 9 3 5 8 11]
10,398,[2 5 1 4 3 7 13 6 11 12 9 10 8]
11,-295,[3 12 9 13 4 2 5 10 6 7 8 1 11]
12,168,[3 4 7 5 6 9 8 11 12 10 2 13 1]
13,-196,[3 9 10 6 13 4 8 5 11 2 12 1 7]
14,-101,[4 8 13 1 10 7 6 3 11 9 2 5 12]
15,-48,[13 3 2 7 4 8 10 11 1 6 9 5 12]
16,-195,[8 9 7 13 6 5 4 1 10 12 3 11 2]
17,-203,[9 5 10 7 1 3 11 12 13 6 8 4 2]
18,-155,[6 11 12 2 4 9 10 3 1 8 13 5 7]
19,-240,[13 5 4 10 2 12 6 1 9 8 7 3 11]
20,-469,[10 12 11 5 3 9 7 13 8 2 4 6 1]
21,-26,[10 12 4 2 6 8 11 1 3 9 5 7 13]
22,-12,[10 9 2 5 7 4 6 3 13 11 1 8 12]
23,233,[4 7 6 3 5 2 12 8 9 13 11 10 1]
24,-319,[8 12 13 3 11 6 1 4 2 7 5 9 10]
25,75,[3 5 1 13 6 7 12 10 11 8 4 9 2]
Iteration: 113
Team ,Score ,Strategy
1,217,[2 6 5 10 1 7 8 9 13 11 4 12 3]
2,548,[2 1 5 3 7 9 11 8 4 13 10 12 6]
3,241,[2 6 5 10 1 9 11 7 4 8 12 13 3]
4,135,[2 6 5 10 7 9 11 8 4 13 1 12 3]
5,126,[2 6 1 10 5 7 12 8 13 9 4 11 3]
6,481,[2 5 1 3 4 7 13 8 11 12 10 6 9]
7,-216,[10 6 13 7 11 2 5 4 1 12 8 3 9]
8,-157,[8 12 11 4 3 1 5 10 9 6 7 2 13]
9,66,[2 5 12 10 3 9 13 4 6 7 1 11 8]
10,-195,[12 10 5 4 8 2 9 3 13 11 1 7 6]
11,232,[5 1 2 8 4 6 13 7 10 11 9 12 3]
12,-362,[13 11 12 3 8 1 7 9 2 10 4 5 6]
13,-107,[2 9 8 13 7 5 6 11 1 4 12 10 3]
14,123,[2 5 12 1 11 7 13 9 3 8 4 10 6]
15,2,[8 4 12 1 11 7 3 2 13 5 10 6 9]
16,-103,[5 3 12 10 6 2 11 8 4 7 13 9 1]
17,-45,[5 2 11 13 8 3 7 10 1 6 9 4 12]
18,141,[2 9 6 10 1 5 4 13 11 8 3 7 12]
19,-274,[6 12 9 10 2 1 13 11 8 5 3 4 7]
20,100,[1 12 4 5 10 7 13 3 2 11 6 9 8]
21,-269,[8 6 10 1 5 7 13 12 11 3 9 4 2]
22,-36,[1 6 12 10 11 8 2 13 4 3 9 7 5]
23,-32,[5 11 4 7 8 13 3 6 2 9 12 1 10]
24,-332,[3 11 9 4 13 2 12 7 8 5 10 6 1]
25,-284,[8 12 10 7 13 2 1 6 3 11 4 9 5]
Iteration: 114
Team ,Score ,Strategy
1,-30,[2 9 6 10 1 5 4 13 11 8 3 7 12]
2,234,[2 6 5 10 1 7 8 3 11 13 4 12 9]
3,417,[2 1 5 3 4 9 11 7 10 13 8 12 6]
4,246,[2 5 6 3 4 7 13 8 10 12 11 1 9]
5,119,[2 1 5 8 4 7 13 9 10 11 6 12 3]
6,417,[2 1 5 3 4 9 11 7 10 13 8 12 6]
7,88,[8 2 1 10 6 9 5 3 7 12 4 11 13]
8,-60,[4 10 8 6 1 2 9 3 7 12 13 11 5]
9,-91,[11 8 2 6 1 3 7 13 9 5 10 12 4]
10,27,[1 10 5 3 13 11 7 4 6 8 9 2 12]
11,-22,[3 12 11 6 2 4 5 8 1 13 7 9 10]
12,45,[8 5 4 3 1 9 11 2 13 7 6 10 12]
13,-204,[1 5 9 2 13 10 6 12 8 4 7 11 3]
14,62,[1 9 2 10 4 5 12 6 7 3 13 11 8]
15,125,[3 1 4 11 6 10 5 12 8 13 7 2 9]
16,-147,[13 7 4 1 8 6 12 3 2 10 11 5 9]
17,-360,[8 10 7 12 3 13 1 4 5 9 2 6 11]
18,-250,[9 10 2 4 12 11 7 5 3 13 6 1 8]
19,-81,[3 7 12 4 6 11 2 13 1 5 10 9 8]
20,-15,[4 2 9 1 11 8 13 7 6 10 3 5 12]
21,-249,[10 5 2 12 11 4 7 1 8 9 3 13 6]
22,291,[6 2 10 1 3 9 7 5 13 4 8 12 11]
23,-2,[7 9 11 1 3 4 6 5 13 2 12 8 10]
24,-315,[3 9 13 6 8 11 4 1 7 12 10 2 5]
25,-245,[4 10 2 8 11 1 7 12 13 9 6 3 5]
Iteration: 115
Team ,Score ,Strategy
1,206,[3 1 4 11 6 10 5 12 8 13 7 2 9]
2,378,[2 1 6 3 8 10 13 12 11 5 7 4 9]
3,378,[2 1 6 3 8 10 13 12 11 5 7 4 9]
4,-317,[6 5 10 3 13 9 7 8 12 4 11 1 2]
5,10,[3 1 4 11 6 9 5 7 8 13 10 12 2]
6,260,[2 1 5 3 4 9 11 7 10 13 8 12 6]
7,-177,[7 8 11 4 13 6 2 10 12 5 3 1 9]
8,-159,[11 4 5 2 10 9 8 13 12 7 3 1 6]
9,-239,[5 13 9 8 4 12 10 11 1 6 2 3 7]
10,-155,[8 10 6 7 13 5 1 9 3 12 11 4 2]
11,180,[4 3 12 1 7 5 11 9 2 10 8 13 6]
12,-330,[4 9 11 10 3 13 12 6 1 2 7 8 5]
13,-230,[9 11 6 3 12 13 1 8 2 4 10 7 5]
14,-17,[11 4 10 3 7 5 6 12 1 9 2 13 8]
15,-100,[1 11 7 9 6 8 2 5 12 10 13 3 4]
16,149,[9 5 2 1 12 7 11 8 6 4 13 3 10]
17,4,[5 3 10 12 2 9 8 1 7 4 11 13 6]
18,343,[2 5 3 9 1 11 10 8 6 12 7 4 13]
19,242,[3 1 13 11 2 10 6 7 4 9 12 5 8]
20,485,[1 4 2 9 8 3 6 7 12 10 11 5 13]
21,-338,[6 12 4 13 9 10 5 11 3 8 2 1 7]
22,183,[2 8 4 11 5 12 7 6 1 9 13 3 10]
23,-271,[10 6 9 1 13 8 7 11 12 3 4 5 2]
24,-199,[5 11 3 13 8 1 7 4 12 9 10 2 6]
25,-286,[7 11 8 12 5 1 9 10 13 4 2 3 6]
Iteration: 116
Team ,Score ,Strategy
1,47,[3 1 13 11 2 10 6 7 4 9 12 5 8]
2,650,[2 5 1 3 4 11 10 7 6 13 8 12 9]
3,115,[2 1 13 9 3 10 6 8 4 12 7 5 11]
4,-99,[2 1 11 9 8 10 13 12 5 6 7 4 3]
5,45,[2 5 6 9 8 11 10 3 1 12 7 4 13]
6,82,[2 1 13 11 3 10 6 7 4 5 12 8 9]
7,61,[11 2 9 10 4 7 8 6 3 1 12 13 5]
8,125,[7 4 3 12 5 6 9 11 10 2 8 13 1]
9,-280,[10 1 13 9 2 12 11 8 3 4 7 6 5]
10,-180,[13 8 6 11 3 2 1 4 12 9 5 10 7]
11,293,[1 10 2 3 12 6 7 8 4 9 5 13 11]
12,-111,[5 10 11 7 9 3 1 12 2 13 8 6 4]
13,-174,[2 13 6 11 8 4 7 10 1 9 5 12 3]
14,188,[4 1 3 12 9 6 10 11 5 7 13 8 2]
15,-505,[7 11 10 13 9 12 6 1 4 5 8 3 2]
16,-61,[6 12 4 8 3 7 5 13 1 9 2 11 10]
17,-174,[2 13 3 8 11 5 12 6 1 9 10 7 4]
18,-135,[10 11 6 8 2 1 5 12 3 4 13 9 7]
19,-132,[9 5 13 1 3 2 11 10 12 7 6 8 4]
20,-87,[7 13 4 11 2 6 8 9 1 10 3 12 5]
21,198,[12 4 6 11 2 3 1 8 5 7 9 10 13]
22,147,[6 5 3 10 7 11 1 8 4 12 2 9 13]
23,-146,[8 12 5 6 13 2 4 3 1 7 9 10 11]
24,170,[3 1 12 11 6 7 8 9 5 13 2 10 4]
